skill_raw,skill_norm,course_count,domain,domain_confidence,domain_category_count,is_generic,aliases,example_courses
data-driven,data-driven,2,General,1.0,1,0,"data-driven, datadriven",Data-Drive Decision Making; Supply Chain Analytics
database management,database management,2,Data Security,1.0,1,0,database management,Python Database; MySQL Kick Start Your Career in Databases
different,different,2,Career Development,0.5,2,0,different,Success Recipe to Become a Star; Sales Principles
digital marketing,digital marketing,2,General,0.5,2,0,"digital marketing, تسويق",Digital Marketing Automation; Digital Marketing Advanced Marketing Strategies
documents,documents,2,Banking Skills,0.5,2,0,documents,Detecting Forgery and Counterfeiting; Getting Started with Word 2019
even,even,2,Customer Service,0.5,2,0,even,Customer Service First Call Resolution; Sustainability in Corporates
every,every,2,Customer Service,0.5,2,0,every,AllStar Customer Service Team Leadership; Adobe Animate CC 2019 for Beginners
feel,feel,2,Project Management,0.5,2,0,feel,Increasing Productivity and Time Management; The first 100 Days Magnet Plan
financial statements,financial statements,2,General,1.0,1,0,financial statements,Introduction to Accounting; Basics of Logistics and Transportation
forgery,forgery,2,Banking Skills,1.0,1,0,forgery,Detecting Forgery and Counterfeiting; Fraud Forgery
form,form,2,Public Speaking,0.5,2,0,form,Body Language Fundamentals; Advanced PHP 2020
frameworks,frameworks,2,Project Management,0.5,2,0,frameworks,Agile in Business; Digital Transfomation Frameworks
fraud,fraud,2,Banking Skills,1.0,1,0,fraud,Detecting Forgery and Counterfeiting; Fraud Forgery
fraud forgery,fraud forgery,2,Banking Skills,1.0,1,0,fraud forgery,Detecting Forgery and Counterfeiting; Fraud Forgery
full,full,2,Business Fundamentals,1.0,1,0,full,Introduction to Digital Transformation; Advanced Excel
game,game,2,Game Design,1.0,1,0,game,Essential Unity Controls 1; Unity Basics
get,get,2,Banking Skills,0.5,2,0,get,Financial Inclusion; Introduction to Visual Basic
goals,goals,2,Sustainability,0.5,2,0,goals,Sustainable Development Goals; Setting SMART Objectives and Planning
good,good,2,Health & Wellness,0.5,2,0,good,Healthy Living; Communication Skills
governance,governance,2,General,1.0,1,0,governance,Introduction to Corporate Governance; Corporate Governance for Startups
green,green,2,Sustainability,0.5,2,0,green,Sustainability in Corporates; Risk and Crisis Management Environmental Awareness
handling,handling,2,Customer Service,0.5,2,0,handling,Effective Complaint Handling Skills; PHP 2020 File and Error Handling
